//--------------------------------------------------------------------------------------------------------------------//
//   ViewPort Index     Item   Index	Name	       				Type	X1      X2	Description   //
//--------------------------------------------------------------------------------------------------------------------//
0
	1	1	255	255	"Attack Power Increase"			0	1	1	"Increases Attack Power"
	2	2	255	255	"Defensibility Increase"		0	1	1	"Increases Defensibility"
	3	3	255	255	"Starter Buff"				0	1	1	"Increases Attack Power & Defensibility"
	4	4	255	255	"Soul Barrier"				0	1	1	"Damage Absorbed By Mana"
	5	5	255	255	"Critical Damage Increase"		0	1	1	"Increases Critical Damage"
	6	6	255	255	"Infinity Arrow"			0	0	1	"Infinite Arrows For a While"
	7	7	255	255	"AG Recovery Speed Increase"		0	0	1	""
	8	8	255	255	"Swell Health"				0	1	1	"Increases Health Stat to Maximum"
	9	9	255	255	"Swell Mana"				0	0	1	"Increases Mana Stat to Maximum"
	10	10	255	255	"Potion of Bless"			0	0	1	"Increases Attack Power +20"
	11	11	255	255	"Potion of Soul"			0	0	1	"Increase AG Recovery Speed +8 / Thunder & Ice Resistance / Attack Speed +20"
	12	12	255	255	"Cancel Magic Spell"			0	0	1	""
	13	13	255	255	"Gate Open/Close Status"		0	1	1	""
	14	14	255	255	"Watch Tower"				0	1	1	"Watching Over the Castle"
	15	14	255	255	"Besiegement Guild1"			0	1	1	"In the Process of Attacking the Castle"
	16	14	255	255	"Besiegement Guild2"			0	1	1	"In the Process of Attacking the Castle"
	17	14	255	255	"Besiegement Guild3"			0	1	1	"In the Process of Attacking the Castle"
	18	15	255	255	"Invisibility"				0	1	1	"Invisibility Status"
	19	16	255	255	"Dark Rod Battle Skill"			0	0	1	""
	20	17	255	255	"Crown Registration Status"		0	1	1	""
	21	18	255	255	"Altar of Wolf Contract Enabled"	0	1	1	""
	22	18	255	255	"Altar of Wolf Contract Disabled"	0	1	1	""
	23	18	255	255	"Altar of Wolf Contract Status"		0	1	1	""
	24	18	255	255	"Altar of Wolf Contract Attempt"	0	1	1	""
	25	18	255	255	"Altar of Wolf Besiegement Status"	0	1	1	""
	26	18	255	255	"Altar of Wolf Hero Contract Status"	0	1	1	""
	27	19	255	255	"Crywolf NPC Invisibility"		0	1	1	""
	28	20	255	255	"GameMaster"				0	1	1	""
	29	21	13	43	"Seal of Ascension"			0	0	1	"Increases Experience 150%%"
	30	21	13	44	"Seal of Wealth"			0	0	1	"Increases Experience 150%% / Item Drop 200%%"
	31	21	13	45	"Seal of Sustenance"			0	0	1	"Disables Experience Flow"
	32	22	255	255	"Temple - Spell of Quickness"		0	0	1	""
	33	22	255	255	"Temple - Spell of Sublimation"		0	0	1	""
	34	22	255	255	"Magic Shield Order"			0	1	1	"Damage Absorbed 100%%"
	35	23	14	46	"Jack O'Lantern Blessing"		0	0	1	"Increases Attack Speed +10"
	36	23	14	47	"Jack O'Lantern Rage"			0	0	1	"Increases Attack Power +25"
	37	23	14	48	"Jack O'Lantern Scream"			0	0	1	"Increases Defensibility +100"
	38	23	14	49	"Jack O'Lantern Food"			0	0	1	"Increases Maximum Health +500"
	39	23	14	50	"Jack O'Lantern Drink"			0	0	1	"Increases Maximum Mana +500"
	40	24	13	43	"Seal of Ascension"			0	0	1	"Increases Experience 150%%"
	41	24	13	44	"Seal of Wealth"			0	0	1	"Increases Experience 200%% / Item Drop 150%%"
	42	24	13	45	"Seal of Sustenance"			0	0	1	"Disables Experience Flow"
